,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
1,python后端工程师,企,8-11万,南京-玄武区,大专及以上,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月27日,公平价,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1910278918.shtml
2,python工程师,企,10-19万,厦门-集美区,学历不限,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：10个工作日内反馈</span>",2017年11月27日,厦门集微科技有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/194876132.shtml
3,Python开发工程师,企,20-33万,广州,统招本科,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月27日,汇智通信,"<a class=""industry-link"" href=""/company/000-060/"" onclick=""return false;"" target=""_blank"">通信(设备/运营/增值)</a>",1000-2000人,https://www.liepin.com/job/198961704.shtml
4,Python 工程师,企,12-18万,北京-朝阳区,学历不限,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月24日,北京新鸿儒世纪网络技术有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",1-49人,https://www.liepin.com/job/1910992643.shtml
5,Python学科负责人,企,12-18万,北京,大专及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月24日,北京华清远见科技发展有限公司,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910686577.shtml
6,python教学经理,企,18-24万,北京,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月24日,北京华清远见科技发展有限公司,"<a class=""industry-link"" href=""/company/000-380/"" onclick=""return false;"" target=""_blank"">教育/培训/学术/科研/院校</a>",500-999人,https://www.liepin.com/job/1910633761.shtml
7,人工只能/C++/python,企,13-26万,北京,硕士及以上,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月24日,爱信诺征信有限公司,"<a class=""industry-link"" href=""/company/000-010/"" onclick=""return false;"" target=""_blank"">计算机软件</a>",50-99人,https://www.liepin.com/job/1910195778.shtml
8,Python后端开发工程师,企,20-39万,北京,统招本科,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月24日,更美互动,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/1911034119.shtml
9,Python自动化测试工程师,企,10-24万,深圳,统招本科,1年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：2个工作日内反馈</span>",2017年11月24日,中软国际科技,"<a class=""industry-link"" href=""/company/000-030/"" onclick=""return false;"" target=""_blank"">IT服务/系统集成</a>",1000-2000人,https://www.liepin.com/job/1911032961.shtml
10,Python工程师,企,18-36万,深圳-南山区,学历不限,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月24日,OPPO移动通信,"<a class=""industry-link"" href=""/company/000-060/"" onclick=""return false;"" target=""_blank"">通信(设备/运营/增值)</a>",10000人以上,https://www.liepin.com/job/195192741.shtml
11,Python测试开发工程师,企,面议,深圳,本科及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月24日,OPPO移动通信,"<a class=""industry-link"" href=""/company/000-060/"" onclick=""return false;"" target=""_blank"">通信(设备/运营/增值)</a>",10000人以上,https://www.liepin.com/job/198808855.shtml
12,手游客户端开发-Python-大话事业部200,企,面议,广州,学历不限,5年工作经验,未知,2017年11月24日,网易集团,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",10000人以上,https://www.liepin.com/job/1910558995.shtml
13,Python程序员,企,12-18万,厦门-思明区,大专及以上,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月24日,厦门点触科技股份有限公司,"<a class=""industry-link"" href=""/company/000-420/"" onclick=""return false;"" target=""_blank"">网络游戏</a>",100-499人,https://www.liepin.com/job/197539759.shtml
14,python工程师,企,12-24万,合肥,统招本科,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月23日,安徽七天教育科技有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",100-499人,https://www.liepin.com/job/199212793.shtml
15,Python工程师--爬虫方向,企,面议,上海,学历不限,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月23日,众安在线财产保险,"<a class=""industry-link"" href=""/company/000-140/"" onclick=""return false;"" target=""_blank"">保险</a>",100-499人,https://www.liepin.com/job/1911019205.shtml
16,Python 数据开发工程师,企,面议,北京,统招本科,经验不限,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：5个工作日内反馈</span>",2017年11月23日,恒润科技,"<a class=""industry-link"" href=""/company/000-050/"" onclick=""return false;"" target=""_blank"">电子技术/半导体/集成电路</a>",1000-2000人,https://www.liepin.com/job/198915393.shtml
17,Python工程师,企,23-45万,上海,大专及以上,2年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月23日,上海清源绿网,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",50-99人,https://www.liepin.com/job/1910801657.shtml
18,高级python开发工程师,企,28-56万,上海,大专及以上,3年工作经验,"<span title=""反馈时间以工作日为准，周末和假期时间不会计算在内"">投递后：1个工作日内反馈</span>",2017年11月23日,上海清源绿网,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",50-99人,https://www.liepin.com/job/1910710541.shtml
