,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
1,python高级开发工程师,猎,20-50万,深圳,本科及以上,3年工作经验,未知,2017年12月11日,深圳游戏公司,未知,未知,/a/9710258.shtml
2,python开发工程师,猎,20-40万,北京,统招本科,2年工作经验,未知,2017年12月11日,互联网金融公司,未知,未知,/a/10118850.shtml
3,Python工程师,猎,22-30万,杭州,统招本科,3年工作经验,未知,2017年12月11日,杭州某互联网企业,未知,未知,/a/10263768.shtml
4,Python运营开发(后台)工程师,猎,30-60万,深圳,统招本科,3年工作经验,未知,2017年12月11日,深圳某大型互联网公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10263733.shtml
5,Python 高级工程师,猎,15-25万,北京,大专及以上,1年工作经验,未知,2017年12月11日,北京知名公司,未知,未知,/a/10260468.shtml
6,Python 工程师,猎,15-30万,上海,统招本科,2年工作经验,未知,2017年12月11日,人力资源公司,"<a class=""industry-link"" href=""/company/000-120/"" onclick=""return false;"" target=""_blank"">专业服务(咨询/财会/法律/翻译等)</a>",未知,/a/9761770.shtml
7,Python工程师,猎,30-50万,成都,学历不限,2年工作经验,未知,2017年12月11日,某大型互联网企业,未知,未知,/a/9996582.shtml
8,python运维,猎,45-75万,杭州,大专及以上,3年工作经验,未知,2017年12月11日,某知名企业,未知,未知,/a/10256870.shtml
9,Python高级软件开发工程师,猎,13-35万,苏州,学历不限,3年工作经验,未知,2017年12月11日,某人工智能软件公司,未知,未知,/a/9940446.shtml
10,高级软件工程师-C/C++/Java/python,猎,30-50万,上海,学历不限,5年工作经验,未知,2017年12月11日,IT 软件公司,未知,未知,/a/10250224.shtml
11,Python研发工程师,猎,30-60万,"广州,深圳,菲律宾",本科及以上,2年工作经验,未知,2017年12月11日,东南亚区块链公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10248077.shtml
12,3D图像分析工程师(c++/python),猎,30-50万,上海,统招本科,3年工作经验,未知,2017年12月11日,某计算机视觉领域高科技企业,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10229046.shtml
13,服务端工程师——Python,猎,30-50万,北京,统招本科,3年工作经验,未知,2017年12月11日,知名互联网公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10245015.shtml
14,Python研发工程师,猎,30-55万,北京,统招本科,3年工作经验,未知,2017年12月11日,某知名互联网金融公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/9105206.shtml
15,python后台开发工程师,猎,20-50万,"深圳,北京,广州",本科及以上,2年工作经验,未知,2017年12月11日,东南亚知名电商平台,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10217755.shtml
16,后端开发工程师（ Python/Java/Ruby）,猎,20-45万,武汉,统招本科,2年工作经验,未知,2017年12月11日,某知名独角兽互联网公司,未知,未知,/a/10224590.shtml
17,一线大厂iOS/安卓/Java/Python/PHP/DBA,猎,35-60万,北京,统招本科,2年工作经验,未知,2017年12月11日,某知名共享出行平台企业,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10222795.shtml
18,python 开发工程师,猎,30-60万,深圳,统招本科,5年工作经验,未知,2017年12月11日,某风口互联网创业公司,未知,未知,/a/9986917.shtml
19,Python工程师,猎,20-50万,北京,统招本科,1年工作经验,未知,2017年12月11日,某人工智能技术公司,未知,未知,/a/9969583.shtml
20,高级Python工程师,猎,20-50万,北京,本科及以上,2年工作经验,未知,2017年12月11日,某大型软件定义存储公司,未知,未知,/a/9680427.shtml
21,python研发／架构,猎,30-50万,北京,学历不限,5年工作经验,未知,2017年12月11日,某风口互联网创业公司,未知,未知,/a/9847319.shtml
22,高级Python开发工程师,猎,30-40万,"北京,上海,广州",统招本科,2年工作经验,未知,2017年12月11日,某外资TOP 500 IT公司,未知,未知,/a/10122644.shtml
23,后端开发工程师（Java/Python）,猎,20-50万,武汉,统招本科,2年工作经验,未知,2017年12月11日,国内知名互联网公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10204337.shtml
24,python高级开发工程师,猎,20-50万,深圳,统招本科,3年工作经验,未知,2017年12月11日,国内某游戏公司,"<a class=""industry-link"" href=""/company/000-420/"" onclick=""return false;"" target=""_blank"">网络游戏</a>",未知,/a/10207120.shtml
25,Python后端开发工程师,猎,25-35万,北京,学历不限,3年工作经验,未知,2017年12月11日,北京某轻奢电商平台,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10200403.shtml
26,python开发工程师－上海,猎,10-30万,上海,本科及以上,3年工作经验,未知,2017年12月11日,国内知名互联网公司,未知,未知,/a/10196099.shtml
27,web/python全栈工程师,猎,40-70万,深圳,本科及以上,3年工作经验,未知,2017年12月11日,某知名海外游戏公司,"<a class=""industry-link"" href=""/company/000-420/"" onclick=""return false;"" target=""_blank"">网络游戏</a>",未知,/a/10196965.shtml
28,python高级开发工程师,猎,40-70万,深圳,学历不限,3年工作经验,未知,2017年12月11日,某知名海外游戏公司,"<a class=""industry-link"" href=""/company/000-420/"" onclick=""return false;"" target=""_blank"">网络游戏</a>",未知,/a/10197002.shtml
29,python(django)工程师,猎,18-25万,北京,本科及以上,2年工作经验,未知,2017年12月11日,某教育信息技术有限公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/9970536.shtml
30,Python工程师,猎,24-48万,北京,统招本科,1年工作经验,未知,2017年12月11日,北京乐信圣文科技有限公司,未知,未知,/a/10189433.shtml
31,Python工程师,猎,22-32万,北京,本科及以上,2年工作经验,未知,2017年12月11日,北京某知名社交平台公司,未知,未知,/a/10184988.shtml
32,java、C#、Python工程师,猎,40-70万,北京,统招本科,5年工作经验,未知,2017年12月11日,某硅谷视频广告公司,未知,未知,/a/10180075.shtml
33,Python 研发工程师,猎,20-30万,上海,统招本科,2年工作经验,未知,2017年12月11日,上海人才服务有限公司,未知,未知,/a/7984985.shtml
34,python开发工程师（初级、中级、高级),猎,10-35万,北京,大专及以上,1年工作经验,未知,2017年12月11日,快速发展的互联网企业,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10039539.shtml
35,Python高级工程师（爬虫、业务后台）,猎,30-60万,北京,本科及以上,1年工作经验,未知,2017年12月11日,高潜创业公司+大咖,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10172385.shtml
36,python研发经理,猎,40-70万,北京,本科及以上,3年工作经验,未知,2017年12月11日,北京某互联网公司,"<a class=""industry-link"" href=""/company/000-040/"" onclick=""return false;"" target=""_blank"">互联网/移动互联网/电子商务</a>",未知,/a/10164900.shtml
37,Python,猎,25-45万,北京,统招本科,4年工作经验,未知,2017年12月11日,某大型综合性公司,未知,未知,/a/10156683.shtml
38,数据挖掘专家/工程师（Python）或（SAS）,猎,40-70万,北京,本科及以上,3年工作经验,未知,2017年12月11日,二手车评估,未知,未知,/a/10089532.shtml
