,Unnamed: 0,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link
0,1,python后端工程师,企,8-11万,南京-玄武区,大专及以上,经验不限,投递后：1个工作日内反馈,2017年11月27日,公平价,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910278918.shtml
1,2,python工程师,企,10-19万,厦门-集美区,学历不限,3年工作经验,投递后：10个工作日内反馈,2017年11月27日,厦门集微科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/194876132.shtml
2,3,Python开发工程师,企,20-33万,广州,统招本科,经验不限,投递后：5个工作日内反馈,2017年11月27日,汇智通信,通信(设备/运营/增值),1000-2000人,https://www.liepin.com/job/198961704.shtml
3,4,Python 工程师,企,12-18万,北京-朝阳区,学历不限,1年工作经验,投递后：1个工作日内反馈,2017年11月24日,北京新鸿儒世纪网络技术有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1910992643.shtml
4,5,Python学科负责人,企,12-18万,北京,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年11月24日,北京华清远见科技发展有限公司,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910686577.shtml
5,6,python教学经理,企,18-24万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年11月24日,北京华清远见科技发展有限公司,教育/培训/学术/科研/院校,500-999人,https://www.liepin.com/job/1910633761.shtml
6,7,人工只能/C++/python,企,13-26万,北京,硕士及以上,1年工作经验,投递后：5个工作日内反馈,2017年11月24日,爱信诺征信有限公司,计算机软件,50-99人,https://www.liepin.com/job/1910195778.shtml
7,8,Python后端开发工程师,企,20-39万,北京,统招本科,1年工作经验,投递后：1个工作日内反馈,2017年11月24日,更美互动,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1911034119.shtml
8,9,Python自动化测试工程师,企,10-24万,深圳,统招本科,1年工作经验,投递后：2个工作日内反馈,2017年11月24日,中软国际科技,IT服务/系统集成,1000-2000人,https://www.liepin.com/job/1911032961.shtml
9,10,Python工程师,企,18-36万,深圳-南山区,学历不限,经验不限,投递后：5个工作日内反馈,2017年11月24日,OPPO移动通信,通信(设备/运营/增值),10000人以上,https://www.liepin.com/job/195192741.shtml
10,11,Python测试开发工程师,企,面议,深圳,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年11月24日,OPPO移动通信,通信(设备/运营/增值),10000人以上,https://www.liepin.com/job/198808855.shtml
11,12,手游客户端开发-Python-大话事业部200,企,面议,广州,学历不限,5年工作经验,未知,2017年11月24日,网易集团,互联网/移动互联网/电子商务,10000人以上,https://www.liepin.com/job/1910558995.shtml
12,13,Python程序员,企,12-18万,厦门-思明区,大专及以上,经验不限,投递后：5个工作日内反馈,2017年11月24日,厦门点触科技股份有限公司,网络游戏,100-499人,https://www.liepin.com/job/197539759.shtml
13,14,python工程师,企,12-24万,合肥,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年11月23日,安徽七天教育科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199212793.shtml
14,15,Python工程师--爬虫方向,企,面议,上海,学历不限,2年工作经验,投递后：5个工作日内反馈,2017年11月23日,众安在线财产保险,保险,100-499人,https://www.liepin.com/job/1911019205.shtml
15,16,Python 数据开发工程师,企,面议,北京,统招本科,经验不限,投递后：5个工作日内反馈,2017年11月23日,恒润科技,电子技术/半导体/集成电路,1000-2000人,https://www.liepin.com/job/198915393.shtml
16,17,Python工程师,企,23-45万,上海,大专及以上,2年工作经验,投递后：1个工作日内反馈,2017年11月23日,上海清源绿网,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910801657.shtml
17,18,高级python开发工程师,企,28-56万,上海,大专及以上,3年工作经验,投递后：1个工作日内反馈,2017年11月23日,上海清源绿网,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910710541.shtml
0,1,python高级开发工程师,猎,20-50万,深圳,本科及以上,3年工作经验,未知,2017年12月11日,深圳游戏公司,未知,未知,/a/9710258.shtml
1,2,python开发工程师,猎,20-40万,北京,统招本科,2年工作经验,未知,2017年12月11日,互联网金融公司,未知,未知,/a/10118850.shtml
2,3,Python工程师,猎,22-30万,杭州,统招本科,3年工作经验,未知,2017年12月11日,杭州某互联网企业,未知,未知,/a/10263768.shtml
3,4,Python运营开发(后台)工程师,猎,30-60万,深圳,统招本科,3年工作经验,未知,2017年12月11日,深圳某大型互联网公司,互联网/移动互联网/电子商务,未知,/a/10263733.shtml
4,5,Python 高级工程师,猎,15-25万,北京,大专及以上,1年工作经验,未知,2017年12月11日,北京知名公司,未知,未知,/a/10260468.shtml
