,title,job_type,compensation,city,education,work_experience,feedback_time,time,company,company_type,company_number,company_link,only_city,low,heigh,mean_money
0,python开发工程师,企,14-25万,成都,本科及以上,3年工作经验,投递后：2个工作日内反馈,2017年12月11日,钱方好近,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199478825.shtml,成都,14,25,19.5
1,Python开发工程师,企,18-30万,北京-朝阳区,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月11日,北京我最在行信息技术有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910775111.shtml,北京,18,30,24.0
2,高级Python开发工程师,企,面议,上海,统招本科,5年工作经验,投递后：5个工作日内反馈,2017年12月11日,优刻得,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1910870763.shtml,上海,面议,面议,面议
3,自动化测试工程师（Python 编号02N）,企,12-20万,上海,大专及以上,1年工作经验,投递后：2个工作日内反馈,2017年12月11日,上海复深蓝软件股份有限公司,计算机软件,500-999人,https://www.liepin.com/job/1911097677.shtml,上海,12,20,16.0
4,Python后端工程师,企,24-36万,北京,本科及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月11日,北京山茶花科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1910546568.shtml,北京,24,36,30.0
5,python研发工程师(vmware...,企,18-36万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,首都在线,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199761076.shtml,北京,18,36,27.0
6,Python Engineer,企,12-18万,上海,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月11日,寻仟信息,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910634626.shtml,上海,12,18,15.0
7,Python工程师,企,12-24万,上海,统招本科,1年工作经验,投递后：2个工作日内反馈,2017年12月11日,米飞网络,通信(设备/运营/增值),50-99人,https://www.liepin.com/job/197820447.shtml,上海,12,24,18.0
8,Python研发工程师,企,18-30万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,北京升哲科技有限公司,计算机硬件/网络设备,100-499人,https://www.liepin.com/job/1910845676.shtml,北京,18,30,24.0
9,Python高级开发工程师（模拟请求方向）,企,16-31万,北京,大专及以上,1年工作经验,投递后：1个工作日内反馈,2017年12月11日,北京博派通达科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910817612.shtml,北京,16,31,23.5
10,PHP开发工程师（会Python）,企,面议,上海,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,好体科技,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/197301528.shtml,上海,面议,面议,面议
11,Python 高级开发工程师,企,28-56万,北京,统招本科,2年工作经验,投递后：2个工作日内反馈,2017年12月11日,旷视科技,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/198847440.shtml,北京,28,56,42.0
12,Python 开发工程师,企,30-60万,北京,本科及以上,3年工作经验,投递后：10个工作日内反馈,2017年12月11日,北京思维造物信息科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199299604.shtml,北京,30,60,45.0
13,"Software Engineer_Python/C,C++/EDA",企,面议,上海,本科及以上,3年工作经验,投递后：10个工作日内反馈,2017年12月11日,新思科技,电子技术/半导体/集成电路,5000-10000人,https://www.liepin.com/job/194140728.shtml,上海,面议,面议,面议
14,python开发工程师,企,10-22万,杭州,大专及以上,1年工作经验,投递后：2个工作日内反馈,2017年12月11日,杭州沃趣科技股份有限公司,IT服务/系统集成,50-99人,https://www.liepin.com/job/196674979.shtml,杭州,10,22,16.0
15,python开发工程师（C）,企,7-10万,上海,本科及以上,2年工作经验,投递后：10个工作日内反馈,2017年12月11日,寻仟信息,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910975719.shtml,上海,7,10,8.5
16,Python开发工程师（自动化测试方向）,企,面议,上海,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,东方明珠新媒体,互联网/移动互联网/电子商务,2000-5000人,https://www.liepin.com/job/1910919340.shtml,上海,面议,面议,面议
17,Python工程师,企,7-14万,长沙,本科及以上,1年工作经验,投递后：5个工作日内反馈,2017年12月11日,康通电子,电子技术/半导体/集成电路,100-499人,https://www.liepin.com/job/1910887741.shtml,长沙,7,14,10.5
18,python开发工程师,企,16-23万,上海,大专及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月11日,亮昕网络,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/1910720024.shtml,上海,16,23,19.5
19,Python 开发工程师,企,12-18万,上海,大专及以上,1年工作经验,投递后：10个工作日内反馈,2017年12月11日,两鲜网超,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910560533.shtml,上海,12,18,15.0
20,python开发工程师（爬虫方向）,企,18-24万,上海,大专及以上,2年工作经验,投递后：1个工作日内反馈,2017年12月11日,杭州数云信息技术有限公司上海分公司,计算机软件,100-499人,https://www.liepin.com/job/1910341671.shtml,上海,18,24,21.0
21,Python开发工程师,企,13-22万,上海,本科及以上,1年工作经验,投递后：2个工作日内反馈,2017年12月11日,晨光文具,食品/饮料/烟酒/日化,5000-10000人,https://www.liepin.com/job/197793945.shtml,上海,13,22,17.5
22,python开发工程师,企,11-14万,上海,统招本科,1年工作经验,投递后：5个工作日内反馈,2017年12月11日,达而观信息科技(上海)有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911090360.shtml,上海,11,14,12.5
23,Python爬虫高级工程师,企,18-30万,上海,大专及以上,3年工作经验,投递后：1个工作日内反馈,2017年12月11日,善林(上海)金融,基金/证券/期货/投资,10000人以上,https://www.liepin.com/job/1910966929.shtml,上海,18,30,24.0
24,高级Python研发工程师,企,20-39万,上海,统招本科,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,贝米钱包,基金/证券/期货/投资,50-99人,https://www.liepin.com/job/199334779.shtml,上海,20,39,29.5
25,python研发工程师,企,35-42万,北京-朝阳区,大专及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,钱方好近,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/194160912.shtml,北京,35,42,38.5
26,初级Python工程师,企,10-16万,杭州,统招本科,经验不限,投递后：10个工作日内反馈,2017年12月11日,杭州览众数据科技有限公司,计算机软件,50-99人,https://www.liepin.com/job/1910934556.shtml,杭州,10,16,13.0
27,Python开发工程师——ZBC,企,面议,北京,本科及以上,2年工作经验,投递后：10个工作日内反馈,2017年12月11日,金山云网络,互联网/移动互联网/电子商务,500-999人,https://www.liepin.com/job/199047590.shtml,北京,面议,面议,面议
28,python开发工程师,企,7-12万,北京,统招本科,2年工作经验,投递后：5个工作日内反馈,2017年12月11日,数据堂,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/199550154.shtml,北京,7,12,9.5
29,Python软件工程师,企,7-14万,广州,大专及以上,经验不限,投递后：5个工作日内反馈,2017年12月11日,广州市云润大数据服务有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910263954.shtml,广州,7,14,10.5
30,Web后端工程师(Python),企,21-33万,上海-闵行区,本科及以上,3年工作经验,投递后：1个工作日内反馈,2017年12月11日,苏州体素信息科技有限公司,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/1910250658.shtml,上海,21,33,27.0
31,流程研发工程师（Python）,企,面议,北京,学历不限,1年工作经验,投递后：2个工作日内反馈,2017年12月11日,北京若森数字科技有限公司,影视/媒体/艺术/文化/出版,100-499人,https://www.liepin.com/job/197731328.shtml,北京,面议,面议,面议
32,Python工程师（爬虫）,企,18-26万,上海,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月11日,上海橙金信息科技有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910883915.shtml,上海,18,26,22.0
33,Python开发工程师,企,24-48万,深圳,本科及以上,经验不限,投递后：5个工作日内反馈,2017年12月11日,深圳码隆科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1910780279.shtml,深圳,24,48,36.0
34,Python高级研发工程师,企,17-26万,广州,大专及以上,5年工作经验,投递后：10个工作日内反馈,2017年12月11日,御银科技,互联网/移动互联网/电子商务,1000-2000人,https://www.liepin.com/job/1910526907.shtml,广州,17,26,21.5
35,高级Python开发工程师,企,24-48万,北京,本科及以上,3年工作经验,投递后：5个工作日内反馈,2017年12月11日,旷视科技,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910434047.shtml,北京,24,48,36.0
36,python工程师,企,20-39万,北京,统招本科,3年工作经验,投递后：1个工作日内反馈,2017年12月11日,爱咔咔,互联网/移动互联网/电子商务,1-49人,https://www.liepin.com/job/199129434.shtml,北京,20,39,29.5
37,python开发工程师,企,11-14万,深圳-南山区,统招本科,1年工作经验,投递后：5个工作日内反馈,2017年12月11日,达而观信息科技(上海)有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911090401.shtml,深圳,11,14,12.5
38,Python工程师,企,20-42万,北京-朝阳区,统招本科,3年工作经验,投递后：1个工作日内反馈,2017年12月11日,六次方(北京)信息科技有限公司,互联网/移动互联网/电子商务,50-99人,https://www.liepin.com/job/1911131752.shtml,北京,20,42,31.0
39,Python开发工程师,企,面议,上海,统招本科,1年工作经验,投递后：5个工作日内反馈,2017年12月11日,上海莉莉丝科技股份有限公司,互联网/移动互联网/电子商务,100-499人,https://www.liepin.com/job/1910846848.shtml,上海,面议,面议,面议
40,Python开发工程师（编号03）,企,16-31万,上海,本科及以上,2年工作经验,投递后：5个工作日内反馈,2017年12月11日,上海复深蓝软件股份有限公司,计算机软件,500-999人,https://www.liepin.com/job/1910750792.shtml,上海,16,31,23.5
